Company,Name of program/role,Type,Course Progression,Roles,Status,Location,Duration,Open,Close,Industry,Work rights required,URL,Description,Notes,Last updated
Amazon/AWS,"2024 Software Dev Engineer Intern SYD, AWS",Summer Internship,Penultimate,Software Engineer,Open,Sydney,Summer,March,May,"Retail and Sales, Technology","Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.amazon.jobs/en/jobs/2580965/2024-software-dev-engineer-intern-syd-aws,,"Various non-tech roles also offered, see: https://www.amazon.jobs/en/teams/internships-for-students","March 15, 2024 1:45 PM"
Atlassian,Summer 2024/2025,Summer Internship,Penultimate,"Customer Experience, Data Analyst, Data Scientist, IT, Machine Learning Engineer, Product Designer, Product Manager, Sales, Security, Site Reliability Engineer, Software Engineer",Open,"Melbourne, Sydney",Summer,January,,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.atlassian.com/company/careers/all-jobs?team=&location=Australia&search=2024/2025,,,"March 15, 2024 1:45 PM"
Australian Defence Force,Graduate Entry,Grad Program,Ultimate/Grad,"Cyber Security, Data Scientist, IT, Software Engineer",Open,Australia Wide,12-36 Months,,,Defense,Australian Citizen,https://www.adfcareers.gov.au/jobs,,- Many IT/Engineering roles available for FIT degrees,"March 15, 2024 1:45 PM"
Australian Defence Force,Undergraduate Program,1 Year+ Internship,"Penultimate, Pre-Penultimate","Cyber Security, Data Scientist, IT, Software Engineer",Open,Australia Wide,12-36 Months,,,Defense,Australian Citizen,https://www.adfcareers.gov.au/jobs,,- Many IT/Engineering roles available for FIT degrees,"March 15, 2024 1:45 PM"
Australian Secret Intelligence Service,ACTIVATE Graduate Program,Grad Program,Ultimate/Grad,"Cloud Engineer, Customer Engineer, Cyber Security, Data Analyst, Data Engineer, Data Manager, Data Scientist, Network Engineer, Software Engineer",Open,Canberra,,,February,Government,Australian Citizen,https://www.asis.gov.au/Careers/Current-Vacancies/Graduate-Program/,,,"March 15, 2024 1:45 PM"
Australian Taxation Office,ATO University Paid Internship Program (UPIP),1 Year+ Internship,"Penultimate, Pre-Penultimate","Data Analyst, IT, Project Manager, Software Engineer, UX/UI Designer",Open,"Adelaide, Brisbane, Canberra, Hobart, Melbourne, Perth, Sydney",6-24 Months,,,"Finance, Government",Australian Citizen,https://www.ato.gov.au/about-ato/careers/entry-level-programs/university-paid-internship-program,,"• Applications are open all year round
• Three intakes per year (February, July, November). First intake is July 2024.","March 15, 2024 1:45 PM"
BCG,Graduate Program,Grad Program,Ultimate/Grad,,Open,"Canberra, Melbourne, Perth, Sydney",,January,March,Consulting,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://careers.bcg.com/australia-new-zealand-associate-recruitment,,,"March 15, 2024 1:45 PM"
BHP,,Summer Internship,Ultimate/Grad,"Cyber Security, Data Scientist, Software Engineer",Open,"Adelaide, Brisbane, Perth",10-12 weeks,March,April,Mining,Australian Citizen,https://careers.bhp.com/job/2024-Australian-Intern-Campaign/1138943300/,,,"March 15, 2024 1:45 PM"
Chevron,Information Technology,,"Penultimate, Ultimate/Grad",Information Technology,Open,Western Australia,,May,June,"Energy, Mining","Australian Citizen, Australian Permanent Resident",https://careers.chevron.com/job/perth/information-technology-chevron-intern-program/38138/61960686320,,,"March 15, 2024 1:45 PM"
Deloitte,Vacationer,Summer Internship,Penultimate,"Analytics and Cognitive, Business Engineer, Cloud Engineer, Data Analyst, Platforms Engineer, Software Engineer, Technology Audit",Open,"Canberra, Melbourne, Perth, Sydney","4-8 weeks, Summer","February, July","August, March",Consulting,"Australian Citizen, Australian Permanent Resident, International, New Zealand Citizen",https://www2.deloitte.com/au/en/pages/careers/articles/summer-vacation-program-careers.html,,Deloitte’s summer program has 2 intakes. The first one opens in February and the mid year one opens in July. Deloitte also offers an Insider program for pre-penultimate students.,"March 15, 2024 1:45 PM"
Dolby,,Summer Internship,Penultimate,Software Engineer,Open,Sydney,10-12 weeks,February,April,Technology,"Australian Citizen, Australian Permanent Resident, Australian Student Visa",,Intern Software Engineer (multiple roles),,"March 15, 2024 1:45 PM"
eclipse,,Summer Internship,Penultimate,Trader,Open,Hong Kong,,,,,,https://www.eclipsetrading.com/all-jobs/,,,"March 15, 2024 1:45 PM"
eclipse,,Grad Program,Ultimate/Grad,Trader,Open,Hong Kong,,,,,,https://www.eclipsetrading.com/all-jobs/,,,"March 15, 2024 1:45 PM"
FDM Group,2024 Graduate Program,Grad Program,Ultimate/Grad,,Open,"Brisbane, Canberra, Melbourne, Perth, Sydney",24 months,September,June,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://careers.fdmgroup.com/vacancies/96/australia--2023-graduate-technical-consultant.html?utm_source=gradaustralia&utm_medium=jobad&utm_campaign=grad_tc_&utm_content=aus_,,2.5-year graduate program,"March 15, 2024 1:45 PM"
FDM Group,Project Grace: Technical Graduate Program,Grad Program,Ultimate/Grad,"Cloud Engineer, Data Analyst, Software Engineer, Technical Analyst",Open,"Brisbane, Canberra, Melbourne, Sydney",24 months,September,July,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://careers.fdmgroup.com/vacancies/405/project-grace-technical-graduate-program.html?utm_source=gradaustralia&utm_medium=jobad&utm_campaign=grad_projectgrace_tgp&utm_content=aus_,,2.5-year graduate program,"March 15, 2024 1:45 PM"
FDM Group,Technical Analysis Graduate Program,Grad Program,Ultimate/Grad,,Open,"Brisbane, Canberra, Melbourne, Sydney",12-24 months,September,May,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen, Subclass 462",https://careers.fdmgroup.com/vacancies/244/australia--technical-analyst-consultant.html?utm_source=gradaustralia&utm_medium=jobad&utm_campaign=grad_ta_&utm_content=aus_,,2.5-year graduate program,"March 15, 2024 1:45 PM"
FDM Group,Software Development Graduate Program,Grad Program,Ultimate/Grad,,Open,"Brisbane, Canberra, Melbourne, Sydney",24 months,September,March,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://careers.fdmgroup.com/vacancies/217/australia--software-development-consultant.html?utm_source=gradaustralia&utm_medium=jobad&utm_campaign=grad_dev_&utm_content=aus_,,2.5-year graduate program,"March 15, 2024 1:45 PM"
IMC,Internship,Summer Internship,Penultimate,"Hardware Engineer, Software Engineer, Trader",Open,Sydney,10 weeks,January,August,"Technology, Trading","Australian Citizen, Australian Permanent Resident, New Zealand Citizen",,,,"March 15, 2024 1:45 PM"
Jane Street,,Summer Internship,Penultimate,"AI & ML EngineerBusiness AnalystCloud EngineerCyber SecurityData AnalystData EngineerData ScientistNetwork EngineerPenetration TesterSecuritySecurity EngineerSoftware Engineer, Linux Engineer, Product Engineer, Quantitative Researcher, Software Engineer, Trader",Open,Hong Kong,Summer,June,July,"Finance, Technology, Trading",,https://www.janestreet.com/join-jane-street/open-roles/?type=students-and-new-grads&location=hong-kong,,,"March 15, 2024 1:45 PM"
KPMG,Vacationer,Summer Internship,Penultimate,"Cyber Security, Data Analyst, Technology Advisory, Technology Risk",Open,"Adelaide, Canberra, Hobart, Melbourne, Sydney","4-8 weeks, Summer",February,April,Consulting,"Australian Permanent Resident, Full working rights, International",https://home.kpmg/au/en/home/careers/graduates/vacation-program.html,,,"March 15, 2024 1:45 PM"
McKinsey & Company,Women’s Internship & Scholarship,Summer Internship,"Penultimate, Pre-Penultimate","Business Analyst, Tech Consultant",Open,"Brisbane, Canberra, Melbourne, Perth, Sydney",Summer,,June,Consulting,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.mckinsey.com/au/careers/upcoming-opportunities/womens-internship-and-scholarship,,"$20,000 Scholarship","March 15, 2024 1:45 PM"
Optiver,,Summer Internship,Penultimate,"Hardware Engineer, Quantitative Researcher, Software Developer, Trader",Open,Sydney,Summer,February,May,Trading,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.optiver.com/working-at-optiver/career-opportunities/?filter-level=internship&filter-office=sydney,,,"March 15, 2024 1:45 PM"
PwC,Vacation Program,Summer Internship,Penultimate,"Cyber Security, Data Analyst, Digital Strategist, Project Manager, Software Engineer, Tech Consultant",Open,"Brisbane, Canberra, Melbourne, Sydney",Summer,"March, September","March, September","Consulting, Finance",Full working rights,https://www.pwc.com.au/careers/students/vacation-program.html,,PwC has two intakes. The first one opens in March and the second one in September.,"March 15, 2024 1:45 PM"
Rio Tinto,2024 Intern Program,Summer Internship,"Penultimate, Ultimate/Grad","Data Scientist, IT, Security Engineer, Software Engineer",Open,Perth,10-12 weeks,February,March,Mining,Australian Citizen,,,,"March 15, 2024 1:45 PM"
Susquehanna International Group (SIG),,Grad Program,Ultimate/Grad,"Equity Analyst, Trader",Open,Sydney,,January,,"Technology, Trading","Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://careers.sig.com,,,"March 15, 2024 1:45 PM"
Susquehanna International Group (SIG),,Summer Internship,Penultimate,"Equity Analyst, Quantitative Researcher, Software Developer, Software Engineer, Trader",Open,Sydney,Summer,January,May,"Technology, Trading","Australian Citizen, Australian Permanent Resident, Full working rights",https://careers.sig.com/sydney-campus,,,"March 15, 2024 1:45 PM"
Tibra Capital,Accelerator Program,Program,"Penultimate, Pre-Penultimate",Trader,Open,Sydney,,January,,,,https://apply.workable.com/tibra-capital-1/j/0E09BEE49D/apply/,,,"March 15, 2024 1:45 PM"
TikTok,Intern (TikTok Engineering) - 2024 start,6/12 Month Internship,"Penultimate, Pre-Penultimate, Ultimate/Grad","Back-end Engineer, Front-end Engineer, Mobile App Developer, Software Engineer",Open,Sydney,6-12 months,November,January,Technology,"Australian Citizen, Australian Permanent Resident, International",https://careers.tiktok.com/position?keywords=&category=&location=CT_244&project=&type=3&job_hot_flag=&current=1&limit=10&functionCategory=&tag=,,,"March 15, 2024 1:45 PM"
Accenture,Tech Bootcamp,Program,Penultimate,"Cloud Engineer, Mobile App Developer, Software Developer, Software Engineer",Closed,"Canberra, Melbourne, Sydney",2-3 Days,November,January,Consulting,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.accenture.com/au-en/careers/local/internships,,,"March 15, 2024 1:45 PM"
Accenture,Internship,Summer Internship,Penultimate,Tech Consultant,Closed,Melbourne,Summer,June,July,Consulting,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.accenture.com/au-en/careers/local/internships,,,"March 15, 2024 1:45 PM"
Additive Assurance,,Summer Internship,Penultimate,"Machine Learning Engineer, Software Engineer",Closed,Melbourne,Summer,August,November,"Manufacturing, Technology","Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://mailto:careers@additiveassurance.com,,Click on page to find out all the details,"March 15, 2024 1:45 PM"
Adobe,,Summer Internship,Penultimate,"Digital Strategist, Sales, Software Engineer, Solutions Consultant",Closed,Sydney,Summer,,December,Technology,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.adobe.com/careers.html,,,"March 15, 2024 1:45 PM"
Airwallex,,Summer Internship,Penultimate,Software Engineer,Closed,Melbourne,Summer,March,,,International,https://jobs.lever.co/airwallex/98f20acd-3ca7-451a-a065-365f087a57ed,,,"March 15, 2024 1:45 PM"
Akuna Capital,,Summer Internship,Penultimate,"Quantitative Developer, Quantitative Researcher, Software Developer, Trader",Closed,Sydney,Summer,July,August,Trading,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://akunacapital.com/careers?&experience=intern&location=sydney&search_term=#careers,,"Note that the winter internship is offered to pre-penultimate students, and the summer internship is for penultimate students.","March 15, 2024 1:45 PM"
Amazon,Machine Learning Summer School 2024,Program,"Penultimate, Pre-Penultimate, Ultimate/Grad",Machine Learning Engineer,Closed,Remote,4-8 weeks,December,January,"Artificial Intelligence, Big Data and Analytics",,https://amazonmlsummerschoolaustralia.splashthat.com/?fbclid=PAAaad72dMSxMiicXSldrTZ4C7vnItTalnPHqiWCql-rtWbOnoXN2UwRgLk30_aem_AUbfAwXWoX3SDxHR-dWL2XYX01AVWu0xW1WCmgArLzYSXqaxpjvXV6O6GShUk_zgrSc1bDqJ_YgSj5hyx9k1mNuy,,ML virtual summer school for APAC students,"March 15, 2024 1:45 PM"
AMP,Technology Graduate Program,Grad Program,Ultimate/Grad,,Closed,Sydney,12-24 months,July,August,Retail and Sales,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://au.prosple.com/graduate-employers/amp/jobs-internships/technology-graduate-program-pre-register,,,"March 15, 2024 1:45 PM"
ANZ,,Summer Internship,Penultimate,"Business Analyst, Data Analyst, Security Engineer, Software Engineer",Closed,"Melbourne, Sydney",Summer,July,August,Banking,"Australian Citizen, Australian Permanent Resident, New Zealand Citizen",https://www.anz.com.au/careers/programs/summer-intern/,,,"March 15, 2024 1:45 PM"
